County,CountyFIPS,change_per_1000
Alameda,6001,9.940291
Alpine,6003,-100.0
Amador,6005,75.308222
Butte,6007,4.388394
Calaveras,6009,14.997581
Colusa,6011,-50.644490999999995
Contra Costa,6013,9.580732000000001
Del Norte,6015,-30.911960999999998
El Dorado,6017,10.177258
Fresno,6019,6.967445
Glenn,6021,25.862624
Humboldt,6023,1.199816
Imperial,6025,23.771749
Inyo,6027,17.732744
Kern,6029,9.518227
Kings,6031,0.36301
Lake,6033,10.555589999999999
Lassen,6035,27.689721999999996
Los Angeles,6037,11.615733
Madera,6039,1.9262549999999998
Marin,6041,7.979239
Mariposa,6043,-7.814045
Mendocino,6045,3.5593019999999997
Merced,6047,8.715995
Modoc,6049,-54.391487
Mono,6051,18.553058
Monterey,6053,3.57861
Napa,6055,5.042914
Nevada,6057,22.22178
Orange,6059,12.882804
Placer,6061,14.419435
Plumas,6063,-27.345832
Riverside,6065,8.469984
Sacramento,6067,8.757118
San Benito,6069,1.7010330000000002
San Bernardino,6071,9.407534
San Diego,6073,10.291936999999999
San Francisco,6075,18.539194000000002
San Joaquin,6077,10.002039
San Luis Obispo,6079,2.6356330000000003
San Mateo,6081,12.128123
Santa Barbara,6083,14.825446
Santa Clara,6085,12.567269
Santa Cruz,6087,-1.4141780000000002
Shasta,6089,-8.875624
Sierra,6091,4.588394
Siskiyou,6093,-1.0006979999999999
Solano,6095,1.634526
Sonoma,6097,3.2060400000000002
Stanislaus,6099,7.105322
Sutter,6101,13.882176999999999
Tehama,6103,-3.08957
Trinity,6105,-46.736506
Tulare,6107,19.199716
Tuolumne,6109,-14.499545999999999
Ventura,6111,11.938988
Yolo,6113,3.067282
Yuba,6115,-9.778718
