County,CountyFIPS,"Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16"
Alameda,6001,7.11,7.82,9.94
Alpine,6003,18.3,0.0,-100.0
Amador,6005,3.2,5.6,75.31
Butte,6007,6.68,6.97,4.39
Calaveras,6009,5.76,6.62,15.0
Colusa,6011,7.49,3.7,-50.64
Contra Costa,6013,5.62,6.16,9.58
Del Norte,6015,5.27,3.64,-30.91
El Dorado,6017,5.36,5.91,10.18
Fresno,6019,6.05,6.47,6.97
Glenn,6021,4.26,5.36,25.86
Humboldt,6023,7.02,7.11,1.2
Imperial,6025,4.6,5.69,23.77
Inyo,6027,7.06,8.32,17.73
Kern,6029,6.22,6.81,9.52
Kings,6031,5.92,5.94,0.36
Lake,6033,4.67,5.16,10.56
Lassen,6035,3.8,4.85,27.69
Los Angeles,6037,7.29,8.14,11.62
Madera,6039,4.94,5.03,1.93
Marin,6041,6.69,7.23,7.98
Mariposa,6043,4.95,4.57,-7.81
Mendocino,6045,5.95,6.16,3.56
Merced,6047,4.89,5.32,8.72
Modoc,6049,7.36,3.36,-54.39
Mono,6051,12.56,14.89,18.55
Monterey,6053,5.84,6.05,3.58
Napa,6055,5.51,5.79,5.04
Nevada,6057,5.37,6.56,22.22
Orange,6059,8.43,9.52,12.88
Placer,6061,7.69,8.8,14.42
Plumas,6063,6.59,4.79,-27.35
Riverside,6065,5.95,6.46,8.47
Sacramento,6067,6.53,7.1,8.76
San Benito,6069,4.64,4.72,1.7
San Bernardino,6071,6.53,7.14,9.41
San Diego,6073,7.48,8.25,10.29
San Francisco,6075,9.22,10.93,18.54
San Joaquin,6077,5.77,6.35,10.0
San Luis Obispo,6079,8.08,8.29,2.64
San Mateo,6081,6.87,7.71,12.13
Santa Barbara,6083,6.71,7.71,14.83
Santa Clara,6085,7.1,7.99,12.57
Santa Cruz,6087,6.45,6.36,-1.41
Shasta,6089,7.49,6.82,-8.88
Sierra,6091,3.23,3.37,4.59
Siskiyou,6093,6.5,6.44,-1.0
Solano,6095,6.48,6.59,1.63
Sonoma,6097,5.6,5.78,3.21
Stanislaus,6099,6.31,6.76,7.11
Sutter,6101,5.39,6.14,13.88
Tehama,6103,5.37,5.2,-3.09
Trinity,6105,8.77,4.67,-46.74
Tulare,6107,4.81,5.73,19.2
Tuolumne,6109,5.65,4.83,-14.5
Ventura,6111,6.65,7.45,11.94
Yolo,6113,6.83,7.04,3.07
Yuba,6115,4.28,3.86,-9.78
