County,FIPS,2011 Population,2016 Population,Percent Change
Alameda,6001,1494876.0,1605217.0,7.38
Alpine,6003,1167.0,1184.0,1.46
Amador,6005,38244.0,36963.0,-3.35
Butte,6007,219309.0,223877.0,2.08
Calaveras,6009,45794.0,44787.0,-2.2
Colusa,6011,21297.0,21361.0,0.3
Contra Costa,6013,1037817.0,1107925.0,6.76
Del Norte,6015,28561.0,27628.0,-3.27
El Dorado,6017,179878.0,183000.0,1.74
Fresno,6019,920623.0,963160.0,4.62
Glenn,6021,28027.0,27976.0,-0.18
Humboldt,6023,133585.0,135182.0,1.2
Imperial,6025,171343.0,178807.0,4.36
Inyo,6027,18457.0,18326.0,-0.71
Kern,6029,829254.0,871337.0,5.07
Kings,6031,152335.0,150261.0,-1.36
Lake,6033,64392.0,64076.0,-0.49
Lassen,6035,35001.0,31945.0,-8.73
Los Angeles,6037,9787747.0,10057155.0,2.75
Madera,6039,149611.0,153366.0,2.51
Marin,6041,250666.0,259358.0,3.47
Mariposa,6043,18290.0,17645.0,-3.53
Mendocino,6045,87525.0,87409.0,-0.13
Merced,6047,253606.0,265001.0,4.49
Modoc,6049,9587.0,9033.0,-5.78
Mono,6051,14016.0,14051.0,0.25
Monterey,6053,411385.0,430201.0,4.57
Napa,6055,135377.0,140823.0,4.02
Nevada,6057,98392.0,98639.0,0.25
Orange,6059,2989948.0,3132211.0,4.76
Placer,6061,343554.0,370571.0,7.86
Plumas,6063,20192.0,18754.0,-7.12
Riverside,6065,2154844.0,2323892.0,7.85
Sacramento,6067,1408480.0,1479300.0,5.03
San Benito,6069,54873.0,58051.0,5.79
San Bernardino,6071,2023452.0,2106754.0,4.12
San Diego,6073,3060849.0,3253356.0,6.29
San Francisco,6075,797983.0,850282.0,6.55
San Joaquin,6077,680277.0,714860.0,5.08
San Luis Obispo,6079,267871.0,278680.0,4.04
San Mateo,6081,711622.0,754748.0,6.06
Santa Barbara,6083,419793.0,439395.0,4.67
Santa Clara,6085,1762754.0,1885056.0,6.94
Santa Cruz,6087,259402.0,270931.0,4.44
Shasta,6089,177231.0,179228.0,1.13
Sierra,6091,3277.0,2931.0,-10.56
Siskiyou,6093,44687.0,43668.0,-2.28
Solano,6095,411620.0,429596.0,4.37
Sonoma,6097,478551.0,497776.0,4.02
Stanislaus,6099,512469.0,530561.0,3.53
Sutter,6101,94192.0,95406.0,1.29
Tehama,6103,62985.0,63015.0,0.05
Trinity,6105,13711.0,13180.0,-3.87
Tulare,6107,436234.0,455769.0,4.48
Tuolumne,6109,55736.0,53864.0,-3.36
Ventura,6111,815745.0,843110.0,3.35
Yolo,6113,198889.0,209671.0,5.42
Yuba,6115,71817.0,73897.0,2.9
