County,CountyFIPS,Per Capita Income 2011,Per Capita Income 2016,Income Percent Change
Alameda,6001,34937.0,39042.0,11.75
Alpine,6003,29576.0,26783.0,-9.44
Amador,6005,28030.0,27496.0,-1.91
Butte,6007,23431.0,25077.0,7.02
Calaveras,6009,28667.0,30577.0,6.66
Colusa,6011,21271.0,25745.0,21.03
Contra Costa,6013,38141.0,40792.0,6.95
Del Norte,6015,19247.0,20282.0,5.38
El Dorado,6017,34385.0,37089.0,7.86
Fresno,6019,20638.0,21057.0,2.03
Glenn,6021,21254.0,20362.0,-4.2
Humboldt,6023,24209.0,24038.0,-0.71
Imperial,6025,16593.0,16311.0,-1.7
Inyo,6027,27532.0,28678.0,4.16
Kern,6029,20167.0,21094.0,4.6
Kings,6031,18296.0,19123.0,4.52
Lake,6033,22238.0,21799.0,-1.97
Lassen,6035,19339.0,20072.0,3.79
Los Angeles,6037,27954.0,29301.0,4.82
Madera,6039,18817.0,19021.0,1.08
Marin,6041,54605.0,63608.0,16.49
Mariposa,6043,27209.0,27832.0,2.29
Mendocino,6045,23585.0,25278.0,7.18
Merced,6047,18304.0,19130.0,4.51
Modoc,6049,20769.0,21899.0,5.44
Mono,6051,28789.0,31059.0,7.88
Monterey,6053,25508.0,25947.0,1.72
Napa,6055,35309.0,38057.0,7.78
Nevada,6057,31607.0,33385.0,5.63
Orange,6059,34416.0,35939.0,4.43
Placer,6061,35583.0,37914.0,6.55
Plumas,6063,28104.0,31292.0,11.34
Riverside,6065,24516.0,24443.0,-0.3
Sacramento,6067,27180.0,28292.0,4.09
San Benito,6069,26300.0,27848.0,5.89
San Bernardino,6071,21932.0,21857.0,-0.34
San Diego,6073,30955.0,32482.0,4.93
San Francisco,6075,46777.0,55567.0,18.79
San Joaquin,6077,22857.0,23477.0,2.71
San Luis Obispo,6079,30204.0,32335.0,7.06
San Mateo,6081,45346.0,50262.0,10.84
Santa Barbara,6083,30330.0,31098.0,2.53
Santa Clara,6085,40698.0,46034.0,13.11
Santa Cruz,6087,32975.0,34732.0,5.33
Shasta,6089,23691.0,25094.0,5.92
Sierra,6091,26137.0,31873.0,21.95
Siskiyou,6093,22335.0,23542.0,5.4
Solano,6095,29367.0,30251.0,3.01
Sonoma,6097,33119.0,35639.0,7.61
Stanislaus,6099,21820.0,22915.0,5.02
Sutter,6101,22464.0,24335.0,8.33
Tehama,6103,20689.0,21521.0,4.02
Trinity,6105,22551.0,22387.0,-0.73
Tulare,6107,17986.0,18257.0,1.51
Tuolumne,6109,26084.0,29431.0,12.83
Ventura,6111,32740.0,34331.0,4.86
Yolo,6113,28631.0,28996.0,1.27
Yuba,6115,20046.0,21418.0,6.84
