County,CountyFIPS,Percentage Change
Alameda County,6001,-1.0
Alpine County,6003,-1.7000000000000028
Amador County,6005,5.0
Butte County,6007,3.0
Calaveras County,6009,6.5
Colusa County,6011,18.6
Contra Costa County,6013,1.6000000000000014
Del Norte County,6015,9.2
El Dorado County,6017,1.0
Fresno County,6019,3.099999999999998
Glenn County,6021,6.400000000000002
Humboldt County,6023,3.5
Imperial County,6025,12.700000000000003
Inyo County,6027,4.899999999999999
Kern County,6029,4.5000000000000036
Kings County,6031,5.799999999999997
Lake County,6033,-1.3999999999999986
Lassen County,6035,17.099999999999998
Los Angeles County,6037,0.29999999999999716
Madera County,6039,8.399999999999999
Marin County,6041,0.3999999999999986
Mariposa County,6043,-1.1999999999999993
Mendocino County,6045,8.300000000000004
Merced County,6047,-2.599999999999998
Modoc County,6049,4.0
Mono County,6051,3.400000000000002
Monterey County,6053,5.700000000000003
Napa County,6055,-0.8000000000000007
Nevada County,6057,4.199999999999999
Orange County,6059,-1.5
Placer County,6061,-2.0
Plumas County,6063,1.6999999999999993
Riverside County,6065,1.1999999999999993
Sacramento County,6067,2.099999999999998
San Benito County,6069,9.0
San Bernardino County,6071,1.2000000000000028
San Diego County,6073,-2.3000000000000007
San Francisco County,6075,3.1999999999999993
San Joaquin County,6077,2.3999999999999986
San Luis Obispo County,6079,5.300000000000001
San Mateo County,6081,0.1999999999999993
Santa Barbara County,6083,5.300000000000001
Santa Clara County,6085,-1.0
Santa Cruz County,6087,-2.599999999999998
Shasta County,6089,-3.8000000000000007
Sierra County,6091,0.8000000000000007
Siskiyou County,6093,10.799999999999997
Solano County,6095,3.8999999999999986
Sonoma County,6097,0.09999999999999787
Stanislaus County,6099,-1.5
Sutter County,6101,4.300000000000001
Tehama County,6103,0.3999999999999986
Trinity County,6105,9.0
Tulare County,6107,8.900000000000002
Tuolumne County,6109,10.600000000000001
Ventura County,6111,-0.6999999999999993
Yolo County,6113,2.8999999999999986
Yuba County,6115,7.0
